순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
348,006730,서부T&D,"8,510","150","1.8","162,386","1,361,534,090","8,400","8,510","8,250","471,784,894,330","0.03","55,438,883",,,
349,037560,CJ헬로,"6,080","50","0.8","139,449","844,375,290","6,040","6,100","6,020","470,876,939,200","0.03","77,446,865",,,
350,023890,한국아트라스비엑스,"51,100","200","0.4","98","5,013,400","51,200","51,700","50,800","467,565,000,000","0.03","9,150,000",,,
351,263050,유틸렉스,"63,600","-1,000","-1.6","27,591","1,767,156,800","64,600","66,200","63,400","464,614,218,000","0.03","7,305,255",,,
352,002270,롯데푸드,"409,500","-2,000","-0.5","3,103","1,273,421,500","415,500","416,000","409,000","463,500,765,000","0.03","1,131,870",,,
353,336260,두산퓨얼셀,"8,320","30","0.4","541,234","4,514,940,100","8,340","8,430","8,260","461,707,800,320","0.03","55,493,726",,,
354,151910,나노스,"4,130","0","0.0","117,172","479,790,885","4,170","4,170","4,015","459,853,392,110","0.03","111,344,647",,,
355,094800,맵스리얼티1,"4,950","5","0.1","74,959","367,485,055","4,945","4,950","4,875","459,529,938,450","0.03","92,834,331",,,
356,042700,한미반도체,"8,030","90","1.1","364,485","2,898,472,190","7,970","8,070","7,770","459,507,836,700","0.03","57,223,890",,,
357,011160,두산건설,"1,390","-15","-1.1","364,462","506,674,630","1,390","1,405","1,375","458,556,982,900","0.03","329,897,110",,,
358,042000,카페24,"48,600","400","0.8","51,520","2,485,879,300","48,150","48,600","47,850","458,327,014,200","0.03","9,430,597",,,
359,298000,효성화학,"142,000","-1,000","-0.7","9,911","1,414,507,000","143,500","144,000","142,000","452,997,892,000","0.03","3,190,126",,,
360,025540,한국단자,"43,450","-300","-0.7","6,710","292,654,600","44,500","44,500","43,400","452,531,750,000","0.03","10,415,000",,,
361,092040,아미코젠,"23,500","-800","-3.3","66,581","1,588,739,150","24,200","24,450","23,500","451,364,735,000","0.03","19,207,010",,,
362,084680,이월드,"4,980","-410","-7.6","3,805,826","19,349,785,705","5,350","5,400","4,850","450,739,287,060","0.03","90,509,897",,,
363,044340,위닉스,"25,200","300","1.2","84,762","2,117,304,200","24,950","25,200","24,800","450,410,310,000","0.03","17,873,425",,,
364,123890,한국자산신탁,"3,985","100","2.6","278,741","1,091,965,685","3,900","3,985","3,880","449,720,205,235","0.03","112,853,251",,,
365,003530,한화투자증권,"2,085","15","0.7","290,965","601,813,025","2,070","2,085","2,040","447,332,110,875","0.03","214,547,775",,,
366,265520,AP시스템,"30,850","100","0.3","214,379","6,545,193,600","30,900","31,050","30,100","446,715,002,950","0.03","14,480,227",,,
367,035600,KG이니시스,"15,950","-150","-0.9","181,956","2,901,134,950","16,400","16,400","15,800","445,075,722,300","0.03","27,904,434",,,
368,281820,케이씨텍,"22,400","300","1.4","127,663","2,817,820,100","22,200","22,400","21,750","444,401,216,000","0.03","19,839,340",,,
369,006840,AK홀딩스,"33,250","250","0.8","20,703","680,220,250","33,000","33,250","32,450","440,481,403,250","0.03","13,247,561",,,
370,268600,셀리버리,"56,300","-100","-0.2","200,487","11,341,792,800","56,400","57,500","56,000","440,272,024,100","0.03","7,820,107",,,
371,086520,에코프로,"19,900","-50","-0.2","127,647","2,542,147,700","20,000","20,150","19,800","439,594,800,900","0.03","22,090,191",,,
372,002960,한국쉘석유,"338,000","3,500","1.0","2,177","733,483,500","334,500","338,000","333,000","439,400,000,000","0.03","1,300,000",,,
373,290510,코리아센터,"18,200","-1,000","-5.2","409,741","7,704,247,100","19,400","19,550","18,100","437,365,073,600","0.03","24,031,048",,,
374,088260,이리츠코크렙,"6,800","-20","-0.3","81,471","550,985,060","6,820","6,820","6,720","430,722,812,000","0.03","63,341,590",,,
375,228760,지노믹트리,"21,450","-450","-2.0","138,799","2,996,846,600","21,850","22,150","21,350","428,704,311,750","0.02","19,986,215",,,
376,017810,풀무원,"11,250","350","3.2","269,047","2,994,302,050","10,850","11,450","10,650","428,523,187,500","0.02","38,090,950",,,
377,043150,바텍,"28,750","500","1.8","44,001","1,261,197,200","27,950","28,850","27,950","427,059,860,000","0.02","14,854,256",,,
378,215000,골프존,"67,800","600","0.9","8,863","598,374,700","66,900","67,800","66,400","425,473,137,000","0.02","6,275,415",,,
379,007460,에이프로젠 KIC,"2,775","-85","-3.0","7,604,267","21,344,943,990","2,860","2,895","2,755","425,118,974,925","0.02","153,196,027",,,
380,010050,우리종금,"627","1","0.2","1,035,489","647,714,134","628","629","623","422,725,535,562","0.02","674,203,406",,,
381,053210,스카이라이프,"8,820","-10","-0.1","31,220","274,061,310","8,830","8,850","8,720","421,789,740,120","0.02","47,821,966",,,
382,007570,일양약품,"21,950","-400","-1.8","41,770","923,863,050","22,600","22,650","21,950","418,930,324,800","0.02","19,085,664",,,
383,226320,잇츠한불,"19,100","500","2.7","82,444","1,579,826,350","18,550","19,350","18,500","418,849,916,500","0.02","21,929,315",,,
384,002210,동성제약,"16,000","150","1.0","152,664","2,437,227,750","15,850","16,100","15,850","417,131,968,000","0.02","26,070,748",,,
385,014830,유니드,"46,900","100","0.2","12,395","580,549,400","46,800","47,150","46,200","416,933,636,700","0.02","8,889,843",,,
386,138080,오이솔루션,"53,700","1,800","3.5","177,115","9,471,030,200","52,400","54,100","52,100","415,612,868,400","0.02","7,739,532",,,
387,002990,금호산업,"11,500","50","0.4","70,295","804,153,850","11,400","11,550","11,350","414,406,513,500","0.02","36,035,349",,,
388,025860,남해화학,"8,300","50","0.6","72,189","595,746,580","8,230","8,300","8,210","412,334,396,900","0.02","49,678,843",,,
389,048530,인트론바이오,"13,700","0","0.0","224,082","3,085,819,150","13,900","13,950","13,550","411,147,206,500","0.02","30,010,745",,,
390,122990,와이솔,"14,450","150","1.0","135,320","1,955,345,200","14,350","14,550","14,300","407,084,547,450","0.02","28,171,941",,,
391,038500,삼표시멘트,"3,775","65","1.8","314,527","1,182,547,380","3,760","3,790","3,710","405,273,328,075","0.02","107,357,173",,,
392,300720,한일시멘트,"97,700","1,700","1.8","2,466","239,910,500","96,000","97,700","96,000","404,963,569,000","0.02","4,144,970",,,
393,008490,서흥,"34,950","-50","-0.1","9,718","338,608,050","35,100","35,200","34,500","404,340,499,350","0.02","11,569,113",,,
394,096760,JW홀딩스,"6,260","0","0.0","51,467","322,014,280","6,300","6,360","6,200","403,900,859,040","0.02","64,520,904",,,
395,097230,한진중공업,"4,845","40","0.8","49,302","237,658,435","4,760","4,885","4,760","403,463,891,445","0.02","83,274,281",,,
396,002240,고려제강,"20,150","-450","-2.2","14,909","302,592,400","20,800","20,800","20,150","403,000,000,000","0.02","20,000,000",,,
397,074600,원익QnC,"15,300","250","1.7","532,520","8,164,760,650","15,150","15,600","14,950","402,206,400,000","0.02","26,288,000",,,
398,003800,에이스침대,"35,950","-300","-0.8","954","34,336,150","36,100","36,150","35,800","398,685,500,000","0.02","11,090,000",,,
399,068240,다원시스,"14,750","-200","-1.3","165,778","2,454,727,000","15,050","15,050","14,650","397,249,699,250","0.02","26,932,183",,,
400,015350,부산가스,"35,800","0","0.0","1,372","49,052,900","35,800","35,850","35,700","393,800,000,000","0.02","11,000,000",,,
401,092730,네오팜,"47,700","1,300","2.8","39,197","1,851,689,900","46,850","47,950","46,300","391,491,119,700","0.02","8,207,361",,,
402,102710,이엔에프테크놀로지,"27,400","-100","-0.4","150,316","4,112,938,150","27,650","28,050","27,050","389,842,706,400","0.02","14,227,836",,,
403,024720,한국콜마홀딩스,"21,700","600","2.8","90,275","1,946,447,700","21,250","21,700","21,100","389,275,562,200","0.02","17,938,966",,,
404,084110,휴온스글로벌,"35,400","-250","-0.7","15,941","563,910,000","35,650","35,900","35,050","386,616,214,800","0.02","10,921,362",,,
405,023410,유진기업,"4,995","55","1.1","418,281","2,085,662,460","4,950","5,010","4,945","386,167,760,685","0.02","77,310,863",,,
406,029530,신도리코,"38,000","600","1.6","8,218","309,266,750","37,400","38,000","37,150","383,041,102,000","0.02","10,080,029",,,
407,148150,세경하이테크,"32,900","-1,400","-4.1","1,060,399","35,073,911,900","33,850","34,250","32,450","382,758,600,000","0.02","11,634,000",,,
408,192650,드림텍,"6,260","-20","-0.3","224,299","1,407,585,530","6,300","6,350","6,220","382,267,632,420","0.02","61,065,117",,,
409,268280,미원에스씨,"72,500","800","1.1","3,820","277,706,600","71,200","73,200","71,200","381,922,097,500","0.02","5,267,891",,,
410,249420,일동제약,"16,800","100","0.6","83,580","1,405,685,100","16,700","16,950","16,700","380,863,593,600","0.02","22,670,452",,,
411,007390,네이처셀,"6,220","-50","-0.8","7,108,604","45,676,591,750","6,330","6,870","6,170","380,604,281,780","0.02","61,190,399",,,
412,013120,동원개발,"4,170","40","1.0","84,502","351,086,430","4,130","4,180","4,125","378,669,777,000","0.02","90,808,100",,,
413,122900,아이마켓코리아,"10,500","-50","-0.5","39,935","422,380,200","10,550","10,650","10,500","377,405,070,000","0.02","35,943,340",,,
414,081000,일진다이아,"26,550","-50","-0.2","77,966","2,066,819,650","26,400","26,800","26,400","377,088,986,250","0.02","14,202,975",,,
415,126560,현대에이치씨엔,"3,340","-10","-0.3","204,417","685,304,045","3,340","3,390","3,325","377,007,830,640","0.02","112,876,596",,,
416,095660,네오위즈,"17,200","650","3.9","201,176","3,408,553,750","16,600","17,200","16,500","376,938,137,600","0.02","21,915,008",,,
417,045390,대아티아이,"5,290","0","0.0","2,345,536","12,461,112,700","5,320","5,370","5,250","376,391,551,380","0.02","71,151,522",,,
418,144510,녹십자랩셀,"35,600","-300","-0.8","19,721","702,973,450","35,800","35,950","35,450","375,724,322,400","0.02","10,554,054",,,
419,051370,인터플렉스,"16,100","-50","-0.3","151,883","2,457,869,200","16,400","16,450","15,950","375,572,299,200","0.02","23,327,472",,,
420,034120,SBS,"20,550","350","1.7","139,672","2,881,934,400","20,250","20,950","20,100","375,090,560,100","0.02","18,252,582",,,
421,166090,하나머티리얼즈,"18,950","150","0.8","197,441","3,750,027,600","19,000","19,350","18,550","371,944,422,300","0.02","19,627,674",,,
422,001725,신영증권우,"52,700","0","0.0","1,600","84,323,600","52,800","52,900","52,600","371,733,310,100","0.02","7,053,763",,,
423,004430,송원산업,"15,350","200","1.3","93,449","1,421,286,200","15,250","15,350","15,100","368,400,000,000","0.02","24,000,000",,,
424,293480,하나제약,"22,700","-300","-1.3","54,431","1,237,141,250","22,850","23,150","22,550","367,740,000,000","0.02","16,200,000",,,
425,078070,유비쿼스홀딩스,"19,650","-100","-0.5","67,569","1,343,985,800","19,950","20,200","19,650","367,388,740,200","0.02","18,696,628",,,
426,072710,농심홀딩스,"78,800","3,900","5.2","4,141","314,774,500","75,000","78,800","74,400","365,457,852,000","0.02","4,637,790",,,
427,017390,서울가스,"72,900","900","1.2","59","4,304,400","72,000","73,100","72,000","364,500,000,000","0.02","5,000,000",,,
428,002320,한진,"30,400","500","1.7","86,511","2,603,580,600","29,950","30,400","29,350","364,029,542,400","0.02","11,974,656",,,
429,036930,주성엔지니어링,"7,540","40","0.5","437,293","3,313,063,210","7,560","7,630","7,520","363,799,058,480","0.02","48,249,212",,,
430,321550,티움바이오,"15,650","-1,250","-7.4","1,335,230","21,248,985,400","16,550","16,700","15,400","362,922,341,900","0.02","23,189,926",,,
431,244460,올리패스,"22,800","-900","-3.8","306,867","7,069,167,800","23,800","24,250","22,400","362,204,106,000","0.02","15,886,145",,,
432,019170,신풍제약,"6,830","-40","-0.6","220,771","1,509,237,110","6,900","6,900","6,810","361,887,481,700","0.02","52,984,990",,,
433,293940,신한알파리츠,"7,590","20","0.3","111,728","841,444,930","7,490","7,620","7,460","361,512,633,570","0.02","47,630,123",,,
434,237880,클리오,"21,250","1,800","9.2","315,861","6,507,932,050","19,950","21,250","19,800","360,567,768,750","0.02","16,967,895",,,
435,104830,원익머트리얼즈,"28,500","-500","-1.7","117,976","3,398,501,450","29,000","29,350","28,500","359,328,000,000","0.02","12,608,000",,,
436,030530,원익홀딩스,"4,650","-50","-1.1","322,128","1,501,870,250","4,710","4,785","4,595","359,156,611,650","0.02","77,237,981",,,
437,108230,톱텍,"9,750","10","0.1","177,564","1,713,726,850","9,800","9,800","9,550","358,763,476,500","0.02","36,796,254",,,
438,084370,유진테크,"15,650","-150","-1.0","304,186","4,819,125,300","15,900","16,200","15,600","358,636,057,300","0.02","22,916,042",,,
439,047310,파워로직스,"10,300","540","5.5","2,347,785","23,904,853,110","9,810","10,400","9,790","354,536,114,600","0.02","34,420,982",,,
440,235980,메드팩토,"35,000","-900","-2.5","1,001,390","34,691,949,700","36,250","36,250","33,700","353,409,735,000","0.02","10,097,421",,,
441,008730,율촌화학,"14,200","50","0.4","37,857","534,926,350","14,050","14,200","14,000","352,160,000,000","0.02","24,800,000",,,
442,008350,남선알미늄,"3,175","-135","-4.1","9,518,522","31,020,137,665","3,335","3,370","3,175","349,818,610,750","0.02","110,179,090",,,
443,004690,삼천리,"86,100","200","0.2","2,035","175,356,100","86,600","86,600","86,000","349,137,652,500","0.02","4,055,025",,,
444,009290,광동제약,"6,660","100","1.5","79,023","520,995,340","6,560","6,660","6,530","349,122,867,660","0.02","52,420,851",,,
445,213500,한솔제지,"14,650","-150","-1.0","45,258","665,036,950","14,700","14,800","14,650","348,678,438,400","0.02","23,800,576",,,
446,143160,아이디스,"32,450","200","0.6","43,760","1,411,670,800","32,200","32,900","31,800","347,746,855,500","0.02","10,716,390",,,
447,143240,사람인에이치알,"29,800","-150","-0.5","51,073","1,509,806,000","29,900","29,950","29,300","346,701,037,400","0.02","11,634,263",,,
448,005500,삼진제약,"24,900","-50","-0.2","23,182","576,872,850","25,000","25,100","24,700","346,110,000,000","0.02","13,900,000",,,
449,017960,한국카본,"7,860","280","3.7","677,018","5,284,976,000","7,640","7,900","7,630","345,531,550,020","0.02","43,960,757",,,
450,950180,SNK,"16,350","150","0.9","18,659","300,898,150","16,100","16,350","16,000","344,360,430,000","0.02","21,061,800",,,
451,065660,안트로젠,"39,800","-150","-0.4","50,022","2,000,417,300","40,000","40,100","39,200","344,281,024,600","0.02","8,650,277",,,
452,000480,조선내화,"86,000","-200","-0.2","4,285","369,811,700","86,600","87,300","85,700","344,000,000,000","0.02","4,000,000",,,
453,229500,노브메타파마,"38,100","50","0.1","17,171","658,740,550","38,100","39,200","37,850","341,485,232,700","0.02","8,962,867",,,
454,078020,이베스트투자증권,"6,150","50","0.8","327,522","2,006,121,400","6,130","6,150","6,080","341,209,318,500","0.02","55,481,190",,,
455,080160,모두투어,"18,050","650","3.7","259,256","4,644,562,050","17,400","18,200","17,400","341,145,000,000","0.02","18,900,000",,,
456,099190,아이센스,"24,800","-200","-0.8","17,239","429,182,900","25,150","25,150","24,800","340,683,502,400","0.02","13,737,238",,,
457,319660,피에스케이,"23,000","1,450","6.7","644,021","14,458,941,650","21,900","23,200","21,650","339,595,460,000","0.02","14,765,020",,,
458,016800,퍼시스,"29,500","-50","-0.2","1,094","32,276,950","29,500","29,800","29,400","339,250,000,000","0.02","11,500,000",,,
459,018290,브이티지엠피,"8,840","-90","-1.0","119,065","1,055,103,520","8,860","8,990","8,810","339,026,119,640","0.02","38,351,371",,,
460,030610,교보증권,"9,360","-80","-0.8","35,027","329,059,180","9,440","9,460","9,360","336,960,000,000","0.02","36,000,000",,,
461,000370,한화손해보험,"2,880","0","0.0","208,027","597,420,375","2,885","2,900","2,845","336,208,075,200","0.02","116,738,915",,,
462,001520,동양,"1,405","30","2.2","600,911","838,781,155","1,380","1,425","1,350","335,351,108,515","0.02","238,684,063",,,
463,002780,진흥기업,"2,305","45","2.0","86,740","199,928,400","2,270","2,335","2,260","335,312,372,225","0.02","145,471,745",,,
464,003220,대원제약,"17,000","450","2.7","56,597","955,116,650","16,950","17,050","16,600","334,265,509,000","0.02","19,662,677",,,
465,017940,E1,"48,500","-100","-0.2","8,822","429,002,100","48,800","48,850","48,500","332,710,000,000","0.02","6,860,000",,,
466,152330,코리아오토글라스,"16,550","0","0.0","17,492","289,566,200","16,550","16,650","16,450","331,000,000,000","0.02","20,000,000",,,
467,224760,엔에스컴퍼니,"83,900","0","0.0","0","0","0","0","0","330,540,830,000","0.02","3,939,700",,,
468,061970,엘비세미콘,"7,540","80","1.1","650,854","4,876,612,560","7,500","7,560","7,430","330,135,823,680","0.02","43,784,592",,,
469,214450,파마리서치프로덕트,"34,550","-650","-1.8","31,633","1,098,984,550","35,200","35,450","34,400","330,117,925,400","0.02","9,554,788",,,
470,298690,에어부산,"6,330","20","0.3","313,186","1,978,447,980","6,290","6,370","6,260","329,603,100,000","0.02","52,070,000",,,
471,095720,웅진씽크빅,"2,455","0","0.0","331,179","812,279,720","2,450","2,465","2,435","329,395,323,840","0.02","134,173,248",,,
472,314130,지놈앤컴퍼니,"40,000","500","1.3","1,772","70,970,200","39,500","41,000","39,500","329,077,360,000","0.02","8,226,934",,,
473,051500,CJ프레시웨이,"27,600","0","0.0","32,112","882,778,650","27,200","27,750","27,200","327,655,773,600","0.02","11,871,586",,,
474,003060,에이프로젠제약,"1,355","-40","-2.9","6,509,409","8,845,522,275","1,385","1,405","1,335","327,447,034,440","0.02","241,658,328",,,
475,182400,엔케이맥스,"10,450","100","1.0","105,700","1,096,698,300","10,400","10,450","10,300","326,364,618,800","0.02","31,231,064",,,
476,025900,동화기업,"16,150","0","0.0","6,342","102,333,100","16,200","16,250","16,050","326,203,869,300","0.02","20,198,382",,,
477,040910,아이씨디,"18,600","200","1.1","166,961","3,074,273,400","18,550","18,650","18,050","322,153,413,600","0.02","17,320,076",,,
478,230240,에치에프알,"26,800","-50","-0.2","227,757","6,074,186,100","26,800","27,250","26,450","321,118,136,000","0.02","11,982,020",,,
479,199800,툴젠,"49,150","1,050","2.2","5,177","249,295,050","48,750","49,150","47,200","320,273,638,350","0.02","6,516,249",,,
480,052260,SK바이오랜드,"21,350","-350","-1.6","1,128,606","24,372,163,700","21,500","22,000","21,250","320,250,000,000","0.02","15,000,000",,,
481,032190,다우데이타,"8,310","70","0.8","24,234","200,585,000","8,200","8,340","8,200","318,273,000,000","0.02","38,300,000",,,
482,041830,인바디,"23,150","0","0.0","61,295","1,421,251,700","23,350","23,400","23,000","316,779,553,300","0.02","13,683,782",,,
483,060570,드림어스컴퍼니,"5,540","-20","-0.4","31,877","175,983,580","5,560","5,560","5,440","315,003,552,380","0.02","56,859,847",,,
484,00088K,한화3우B,"14,000","0","0.0","58,901","826,405,200","14,100","14,150","13,950","314,608,000,000","0.02","22,472,000",,,
485,005720,넥센,"5,860","-20","-0.3","17,297","101,352,570","5,880","5,880","5,830","313,767,705,220","0.02","53,543,977",,,
486,192440,슈피겐코리아,"49,900","-800","-1.6","35,868","1,797,301,800","50,900","51,400","49,750","310,196,513,700","0.02","6,216,363",,,
487,119860,다나와,"23,700","-600","-2.5","57,878","1,376,143,400","24,450","24,450","23,650","309,873,281,400","0.02","13,074,822",,,
488,012610,경인양행,"7,590","80","1.1","265,712","2,015,356,140","7,480","7,640","7,480","309,568,510,350","0.02","40,786,365",,,
489,317330,덕산테코피아,"16,800","-250","-1.5","59,119","994,686,550","17,300","17,300","16,600","308,740,790,400","0.02","18,377,428",,,
490,001500,현대차증권,"10,500","50","0.5","48,541","507,793,350","10,450","10,550","10,400","308,039,665,500","0.02","29,337,111",,,
491,058650,세아홀딩스,"77,000","-1,400","-1.8","6,349","493,938,800","78,100","78,600","76,900","308,000,000,000","0.02","4,000,000",,,
492,138250,엔에스쇼핑,"9,130","-210","-2.2","60,728","558,460,020","9,290","9,290","9,130","307,644,480,000","0.02","33,696,000",,,
493,088800,에이스테크,"7,910","420","5.6","1,721,154","13,457,812,580","7,540","7,920","7,540","307,366,954,020","0.02","38,858,022",,,
494,131970,테스나,"44,550","1,100","2.5","108,509","4,803,662,000","43,500","44,900","42,800","305,167,500,000","0.02","6,850,000",,,
495,060150,인선이엔티,"7,930","-20","-0.2","201,626","1,602,356,770","7,990","8,010","7,910","304,442,866,260","0.02","38,391,282",,,
496,002150,도화엔지니어링,"9,000","20","0.2","51,787","465,891,220","8,980","9,120","8,950","303,480,000,000","0.02","33,720,000",,,
497,003620,쌍용차,"2,025","10","0.5","448,921","906,486,490","2,065","2,065","1,970","303,426,004,050","0.02","149,840,002",,,
498,003920,남양유업,"419,500","-3,500","-0.8","438","184,462,000","425,000","425,000","419,500","302,040,000,000","0.02","720,000",,,
499,234080,JW생명과학,"19,050","-50","-0.3","27,217","518,222,300","19,000","19,200","18,900","301,648,253,700","0.02","15,834,554",,,
500,002390,한독,"21,900","-50","-0.2","24,559","536,709,800","22,000","22,050","21,700","301,421,372,700","0.02","13,763,533",,,
501,000140,하이트진로홀딩스,"12,950","350","2.8","127,051","1,624,537,400","12,900","13,000","12,600","300,527,606,750","0.02","23,206,765",,,
502,033270,유나이티드제약,"18,500","-100","-0.5","17,514","324,038,400","18,500","18,700","18,400","300,288,707,000","0.02","16,231,822",,,
503,288330,브릿지바이오테라퓨틱스,"54,300","-8,100","-13.0","2,386,694","141,030,240,000","62,400","64,500","54,100","300,146,616,600","0.02","5,527,562",,,
504,00104K,CJ4우(전환),"71,000","0","0.0","9,544","675,335,400","71,000","71,200","70,300","300,082,352,000","0.02","4,226,512",,,
505,086390,유니테스트,"14,100","0","0.0","242,734","3,440,404,200","14,250","14,400","13,950","297,991,176,600","0.02","21,134,126",,,
506,119610,인터로조,"26,250","200","0.8","9,493","248,660,550","26,300","26,400","26,000","297,793,650,000","0.02","11,344,520",,,
507,086820,바이오솔루션,"36,950","250","0.7","167,035","6,211,594,850","37,100","37,700","36,400","296,914,533,200","0.02","8,035,576",,,
508,002840,미원상사,"58,200","1,100","1.9","3,160","182,906,900","57,400","58,200","57,400","296,121,600,000","0.02","5,088,000",,,
509,015750,성우하이텍,"3,700","30","0.8","104,165","383,574,385","3,635","3,700","3,635","296,000,000,000","0.02","80,000,000",,,
510,016580,환인제약,"15,900","0","0.0","14,005","222,736,700","16,000","16,000","15,850","295,741,113,000","0.02","18,600,070",,,
511,011280,태림포장,"4,170","35","0.8","1,118,266","4,753,144,260","4,200","4,480","4,140","295,260,769,800","0.02","70,805,940",,,
512,183190,아세아시멘트,"75,700","-800","-1.0","2,086","159,018,900","76,500","77,000","75,700","294,912,741,300","0.02","3,895,809",,,
513,070960,용평리조트,"6,120","20","0.3","176,655","1,079,388,950","6,160","6,190","6,060","294,575,997,960","0.02","48,133,333",,,
514,007340,디티알오토모티브,"29,450","50","0.2","3,431","100,925,750","29,400","29,500","29,350","294,323,447,250","0.02","9,994,005",,,
515,002620,제일파마홀딩스,"18,400","0","0.0","8,481","155,060,700","18,400","18,450","18,100","293,909,732,000","0.02","15,973,355",,,
516,016450,한세예스24홀딩스,"7,300","0","0.0","26,758","192,965,910","7,260","7,310","7,130","292,000,000,000","0.02","40,000,000",,,
517,009680,모토닉,"8,840","-10","-0.1","13,303","118,152,370","8,850","8,960","8,840","291,720,000,000","0.02","33,000,000",,,
518,006490,인스코비,"3,000","-85","-2.8","2,623,107","8,010,128,305","3,085","3,255","2,955","291,710,733,000","0.02","97,236,911",,,
519,293780,압타바이오,"26,600","-1,600","-5.7","948,276","25,778,700,150","27,800","28,150","26,600","289,454,097,800","0.02","10,881,733",,,
520,032620,유비케어,"5,540","-110","-2.0","156,491","872,273,110","5,660","5,660","5,520","289,172,150,060","0.02","52,197,139",,,
521,115960,연우,"23,300","50","0.2","51,757","1,205,112,350","23,250","23,450","23,200","288,873,400,000","0.02","12,398,000",,,
522,001880,삼호,"18,950","-350","-1.8","7,902","150,876,600","19,300","19,600","18,850","287,656,565,700","0.02","15,179,766",,,
523,002810,삼영무역,"16,300","300","1.9","25,280","407,513,050","16,000","16,300","15,800","286,988,981,800","0.02","17,606,686",,,
524,082920,비츠로셀,"13,300","100","0.8","70,396","929,670,200","13,200","13,300","13,100","286,470,721,600","0.02","21,539,152",,,
525,033500,동성화인텍,"10,600","650","6.5","1,222,186","12,857,656,700","10,050","10,750","10,000","286,026,255,400","0.02","26,983,609",,,
526,001510,SK증권,"605","-3","-0.5","1,067,313","646,192,372","610","611","603","285,917,053,455","0.02","472,590,171",,,
527,039440,에스티아이,"18,050","0","0.0","158,494","2,862,062,150","18,200","18,200","17,950","285,731,500,000","0.02","15,830,000",,,
528,014620,성광벤드,"9,990","0","0.0","38,822","386,706,890","10,050","10,050","9,890","285,714,000,000","0.02","28,600,000",,,
529,036800,나이스정보통신,"28,500","-200","-0.7","4,711","134,734,950","28,850","28,850","28,450","285,000,000,000","0.02","10,000,000",,,
530,089600,나스미디어,"32,550","-100","-0.3","10,977","359,301,300","32,800","32,950","32,450","284,965,192,050","0.02","8,754,691",,,
531,050890,쏠리드,"5,460","160","3.0","920,690","5,023,548,610","5,340","5,530","5,330","284,931,055,500","0.02","52,185,175",,,
532,004710,한솔테크닉스,"8,870","100","1.1","458,963","4,071,774,440","8,820","8,950","8,770","284,814,617,860","0.02","32,109,878",,,
533,950170,JTC,"8,120","80","1.0","66,053","534,170,130","8,050","8,130","8,020","284,244,798,040","0.02","35,005,517",,,
534,091810,티웨이항공,"6,050","-60","-1.0","334,823","2,024,381,260","6,020","6,140","5,940","284,197,612,600","0.02","46,974,812",,,
535,082800,루미마이크로,"2,380","-130","-5.2","4,820,437","11,613,355,970","2,520","2,555","2,350","283,938,360,160","0.02","119,301,832",,,
536,052020,에스티큐브,"10,400","-50","-0.5","94,979","989,988,500","10,650","10,650","10,350","282,366,562,400","0.02","27,150,631",,,
537,078520,에이블씨엔씨,"10,400","-250","-2.4","127,254","1,335,171,050","10,700","10,750","10,350","281,147,973,600","0.02","27,033,459",,,
538,100120,뷰웍스,"28,000","250","0.9","51,260","1,424,480,950","28,300","28,300","27,400","280,052,220,000","0.02","10,001,865",,,
539,123860,아나패스,"27,550","-400","-1.4","82,688","2,278,499,100","27,950","28,150","27,200","279,018,135,000","0.02","10,127,700",,,
540,239610,에이치엘사이언스,"54,100","100","0.2","14,386","776,887,600","54,100","54,800","53,200","278,190,206,800","0.02","5,142,148",,,
541,101060,SBS미디어홀딩스,"1,985","20","1.0","110,220","218,518,340","1,970","1,995","1,960","277,693,937,150","0.02","139,896,190",,,
542,049950,미래컴퍼니,"34,000","-600","-1.7","13,568","464,166,800","34,650","35,050","33,750","276,903,888,000","0.02","8,144,232",,,
543,035810,이지바이오,"4,775","-5","-0.1","239,875","1,148,969,775","4,765","4,810","4,765","276,603,101,025","0.02","57,927,351",,,
544,220630,해마로푸드서비스,"2,915","105","3.7","2,095,260","6,065,727,575","2,815","2,975","2,785","276,020,650,400","0.02","94,689,760",,,
545,025000,KPX케미칼,"57,000","400","0.7","571","32,442,400","56,600","57,100","56,600","275,880,000,000","0.02","4,840,000",,,
546,052710,아모텍,"28,300","-50","-0.2","126,421","3,581,182,900","28,400","28,600","27,800","275,738,389,800","0.02","9,743,406",,,
547,034950,한국기업평가,"60,600","-100","-0.2","2,607","158,203,000","60,900","61,000","60,500","275,155,148,400","0.02","4,540,514",,,
548,111710,남화산업,"13,350","50","0.4","377,239","5,112,999,950","13,400","13,850","13,300","274,849,800,000","0.02","20,588,000",,,
549,002310,아세아제지,"30,500","450","1.5","31,404","952,382,950","30,250","30,800","29,700","273,173,311,000","0.02","8,956,502",,,
550,053580,웹케시,"40,200","-700","-1.7","66,207","2,665,260,000","41,000","41,000","40,050","271,898,931,000","0.02","6,763,655",,,
551,189300,인텔리안테크,"36,000","1,000","2.9","168,375","6,097,592,600","35,400","36,950","35,100","271,458,072,000","0.02","7,540,502",,,
552,007690,국도화학,"46,650","50","0.1","3,135","145,878,000","46,600","46,900","46,300","271,065,236,400","0.02","5,810,616",,,
