순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
300,001230,동국제강,"5,840","-10","-0.2","184,974","1,083,291,280","5,870","5,920","5,830","557,327,184,080","0.03","95,432,737",,,
301,000815,삼성화재우,"174,500","-1,000","-0.6","7,392","1,290,811,500","175,500","175,500","173,500","557,004,000,000","0.03","3,192,000",,,
302,336370,두산솔루스,"18,200","-350","-1.9","175,199","3,216,728,600","18,500","18,600","18,200","556,733,595,600","0.03","30,589,758",,,
303,210980,SK디앤디,"29,300","200","0.7","13,516","394,271,400","29,050","29,350","28,800","556,411,805,200","0.03","18,990,164",,,
304,141080,레고켐바이오,"52,400","-2,700","-4.9","119,267","6,324,255,100","54,800","54,900","52,200","555,417,048,800","0.03","10,599,562",,,
305,036420,제이콘텐트리,"38,250","-550","-1.4","53,019","2,042,495,100","38,950","38,950","38,150","551,063,848,500","0.03","14,406,898",,,
306,000070,삼양홀딩스,"64,100","-600","-0.9","8,371","537,656,700","64,700","65,300","63,800","548,969,771,100","0.03","8,564,271",,,
307,036540,SFA반도체,"3,845","5","0.1","4,105,600","15,839,940,320","3,875","3,905","3,800","547,113,793,530","0.03","142,292,274",,,
308,278280,천보,"54,400","500","0.9","54,375","2,939,341,300","54,300","54,500","53,400","544,000,000,000","0.03","10,000,000",,,
309,005180,빙그레,"54,800","100","0.2","9,802","536,596,300","55,000","55,100","54,400","539,848,006,800","0.03","9,851,241",,,
310,243070,휴온스,"59,600","-400","-0.7","49,877","2,971,927,800","60,100","60,300","59,000","535,431,917,200","0.03","8,983,757",,,
311,093050,LF,"18,200","0","0.0","39,118","712,157,500","18,200","18,350","18,050","532,168,000,000","0.03","29,240,000",,,
312,178320,서진시스템,"29,350","1,150","4.1","1,124,081","32,604,568,450","28,450","29,600","27,900","531,254,547,100","0.03","18,100,666",,,
313,006390,한일현대시멘트,"31,450","250","0.8","5,852","184,003,750","30,950","31,750","30,950","529,029,570,500","0.03","16,821,290",,,
314,027410,BGF,"5,500","0","0.0","222,014","1,234,115,220","5,470","5,630","5,470","526,442,350,500","0.03","95,716,791",,,
315,237690,에스티팜,"27,950","-50","-0.2","73,601","2,040,076,650","28,000","28,400","27,350","521,435,200,000","0.03","18,656,000",,,
316,271980,제일약품,"35,450","250","0.7","40,677","1,433,900,450","35,000","35,650","34,700","521,287,712,400","0.03","14,704,872",,,
