w순위w종목명w현재가w전일비w등락률w액면가w시가총액w상장주식수w외국인비율w거래량wPERwROEw토론실
0w1w삼성전자w56,300w400w-0.71%w100w3,360,988w5,969,783w57.12w15,492,734w9.35w19.63w
1w2wSK하이닉스w93,000w200w+0.22%w5,000w677,042w728,002w50.44w3,420,123w4.36w38.53w
2w3w삼성전자우w46,700w200w+0.43%w100w384,288w822,887w92.17w2,680,596w7.75wN/Aw
3w4wNAVERw178,500w2,000w-1.11%w100w294,192w164,813w58.47w310,500w45.34w12.97w
4w5w현대차w123,000w1,000w+0.82%w5,000w262,812w213,668w40.78w1,134,065w22.98w2.20w
5w6w삼성바이오로직스w394,500w500w-0.13%w2,500w261,021w66,165w9.75w75,363w116.47w5.51w
6w7w현대모비스w267,000w3,500w+1.33%w5,000w254,469w95,307w47.52w317,144w13.76w6.30w
7w8w셀트리온w177,500w1,500w-0.84%w1,000w227,800w128,338w19.73w557,081w86.63w10.84w
8w9wLG화학w307,000w1,500w+0.49%w5,000w216,718w70,592w37.70w206,968w16.32w8.86w
9w10wPOSCOw248,500w1,000w+0.40%w5,000w216,659w87,187w51.82w254,413w12.82w3.88w
10w11w신한지주w45,300w950w+2.14%w5,000w214,812w474,200w64.54w1,297,106w6.80w9.21w
11w12wKB금융w49,400w1,450w+3.02%w5,000w206,547w418,112w66.60w1,315,524w6.75w8.78w
12w13wLG생활건강w1,269,000w10,000w-0.78%w5,000w198,195w15,618w44.86w23,207w32.93w20.98w
13w14wSK텔레콤w242,000w1,500w+0.62%w500w195,405w80,746w37.32w160,212w6.25w15.52w
14w15w삼성물산w103,000w0w0.00%w100w195,381w189,690w13.57w184,302w11.50w8.06w
15w16w기아차w45,250w600w+1.34%w5,000w183,427w405,363w41.96w780,290w15.87w4.27w
16w17wSKw256,500w0w0.00%w200w180,474w70,360w25.21w109,631w8.07w14.88w
17w18w한국전력w28,100w550w+2.00%w5,000w180,392w641,964w24.88w1,943,927w-13.72w-1.86w
18w19w삼성SDIw227,000w7,500w-3.20%w5,000w156,095w68,765w43.72w317,399w22.79w6.05w
19w20w삼성생명w76,200w200w-0.26%w500w152,400w200,000w15.51w145,500w9.16w5.95w
20w21w삼성에스디에스w194,500w500w-0.26%w500w150,500w77,378w12.66w69,982w23.91w10.91w
21w22wSK이노베이션w149,500w500w+0.34%w5,000w138,236w92,466w34.65w277,297w8.48w9.12w
22w23wKT&Gw97,000w700w+0.73%w5,000w133,174w137,292w46.54w435,935w14.77w11.38w
23w24w카카오w151,000w500w+0.33%w500w130,183w86,214w30.27w250,139w246.33w1.05w
24w25wLGw74,500w300w-0.40%w5,000w128,555w172,557w34.18w181,832w7.03w10.96w
25w26w삼성화재w252,000w500w+0.20%w500w119,385w47,375w47.39w88,645w11.90w8.81w
26w27w엔씨소프트w541,000w2,000w+0.37%w500w118,771w21,954w49.80w37,829w28.38w16.44w
27w28wLG전자w72,500w100w+0.14%w5,000w118,645w163,648w33.94w399,255w10.57w9.03w
28w29w아모레퍼시픽w198,000w4,000w+2.06%w500w115,748w58,458w31.51w144,072w41.14w7.75w
29w30w하나금융지주w38,400w900w+2.40%w5,000w115,293w300,242w67.16w871,346w5.15w8.88w
30w31wS-Oilw96,500w1,000w+1.05%w2,500w108,642w112,583w78.96w208,555w43.61w3.88w
31w32w삼성전기w118,500w1,000w-0.84%w5,000w88,512w74,694w27.71w481,527w14.01w14.50w
32w33w한국조선해양w124,000w1,500w-1.20%w5,000w87,759w70,773w16.81w93,924w-17.00w-4.25w
33w34w우리금융지주w11,900w50w+0.42%w5,000w85,950w722,268w30.74w2,103,601wN/AwN/Aw
34w35w고려아연w427,000w4,000w-0.93%w5,000w80,575w18,870w26.54w17,403w15.28w8.64w
35w36wKODEXw200w29,435w5w-0.02%w0w80,181w272,400w10.76w4,133,102wN/AwN/A
36w37w롯데케미칼w228,500w0w0.00%w5,000w78,319w34,275w30.29w117,352w4.96w13.04w
37w38w넷마블w90,100w600w-0.66%w100w77,255w85,743w22.63w103,471w40.48w4.36w
38w39w기업은행w12,400w150w+1.22%w5,000w71,567w577,157w20.00w1,776,688w4.65w8.63w
39w40wKTw26,950w250w-0.92%w5,000w70,370w261,112w47.83w628,769w10.22w5.50w
40w41w웅진코웨이w92,800w2,900w+3.23%w500w68,486w73,800w58.90w199,220w19.60w33.84w
41w42w아모레Gw81,000w500w+0.62%w500w66,791w82,458w22.02w77,454w50.62w4.65w
42w43w강원랜드w29,900w200w-0.66%w500w63,968w213,940w29.97w241,118w21.51w8.39w
43w44wLG유플러스w14,250w50w+0.35%w5,000w62,217w436,611w36.62w1,123,785w12.92w7.97w
44w45w한온시스템w11,200w50w-0.44%w100w59,786w533,800w18.97w531,500w21.54w13.83w
45w46wLG디스플레이w16,150w200w-1.22%w5,000w57,787w357,816w21.05w1,570,629w-27.89w-1.46w
46w47w현대중공업지주w350,000w6,500w+1.89%w5,000w57,003w16,287w19.31w48,660w21.22w3.53w
47w48w현대글로비스w146,000w500w-0.34%w500w54,750w37,500w36.97w46,189w12.52w10.60w
48w49w미래에셋대우w7,620w20w-0.26%w5,000w50,164w658,316w15.25w1,157,988w13.23w5.83w
49w50w삼성카드w41,650w1,200w+2.97%w5,000w48,255w115,859w11.17w155,596w13.98w5.04w
